,artist_name,genre_name,song_name,lyrics
0,Benson Boone,Pop,Beautiful Things,rough lat iv doin bet last four cold decemb recal  see famy every mon found girl par lov shel com stay night think might  thank god every day girl sent way know thing giv tak away  hold every night that feel wann get us ther man terr man stand los   lyr commerc us
1,Future feat. Metro Boomin,Hip Hop/Rap,Like That,gott fir joint bitch young metro metro young metro three tim yeah  stickin cod hoe streets put nos gon mak pussy leak pussy nigga told aint gon wak sleep cant hear switch hear nigga scream  hoe shrooms nigg hoe cok car ring put fing throat uh uh uh los car might chok uh uh uh know gon swallow goat uh uh uh freeband nigg bring rack got shoot corn lik pack think caus exot bitch attract that shitl get put sect brrt  motto stil bal lik champ gam know hoe hungry gon fuck nam put gang get fuck chain got girl bitch twirlin dick thug thug  got syrup bitch turn bitch thug bout erc bitch get murk bitch thug point baby know gam tim thug bring friend bitch fuck em tim thug im diff nigg kind thug lil caus aint min yeah thug around way  young dop deal sellin dop lik lik   lyr commerc us
2,Teddy Swims,Pop,Lose Control,someth got hold lat dont know anym feel lik wal clos devil knock door who  mind many tim tel im good alon yeah tak tol try best keep tear skin bon dont know  los control yo next im fal apart right front cant see los control yo next mmhmm   lyr commerc us
